,time,rep,cell type ,group,Activated CD4 T cells,Cycling Plasma,Cycling T cells,Cytotoxic CD8 T cells,DCs,MAIT,Megakaryocytes,Memory B cells,Monocytes,Naive B cells,Naive T cells,NKs,Plasma,Stem cells,XCL+ NKs
d_10_SEACell-66,10,4,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_10_SEACell-67,10,4,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d_10_SEACell-68,10,4,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_10_SEACell-69,10,4,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_10_SEACell-7,10,4,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_10_SEACell-8,10,4,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_10_SEACell-9,10,4,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_13_SEACell-0,13,5,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_13_SEACell-1,13,5,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_13_SEACell-10,13,5,DCs,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-11,13,5,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d_13_SEACell-12,13,5,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_13_SEACell-13,13,5,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d_13_SEACell-14,13,5,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-15,13,5,Stem cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
d_13_SEACell-16,13,5,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_13_SEACell-17,13,5,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_13_SEACell-18,13,5,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_13_SEACell-19,13,5,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-2,13,5,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-20,13,5,Monocytes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d_13_SEACell-21,13,5,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_13_SEACell-22,13,5,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d_13_SEACell-23,13,5,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_13_SEACell-24,13,5,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_13_SEACell-25,13,5,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_13_SEACell-26,13,5,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_13_SEACell-27,13,5,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_13_SEACell-28,13,5,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_13_SEACell-29,13,5,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_13_SEACell-3,13,5,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_13_SEACell-30,13,5,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_13_SEACell-31,13,5,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-32,13,5,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_13_SEACell-33,13,5,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_13_SEACell-34,13,5,Cycling Plasma,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-35,13,5,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-36,13,5,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-37,13,5,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_13_SEACell-38,13,5,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_13_SEACell-39,13,5,DCs,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-4,13,5,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-40,13,5,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_13_SEACell-41,13,5,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_13_SEACell-42,13,5,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_13_SEACell-43,13,5,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_13_SEACell-44,13,5,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
